d_mea1,d_mea2,d_mea3,d_mea4,d_mea5,d_mea6,d_mea7,,,,,,,
49,94.3,192.6,300.1,509.6,1037.7,1535.2,2.721848591,3.23967591,2.330098053,1.900952327,3.7854357,11.59032523,4.927741819
49.1,94.2,195.3,302.7,515.8,1046.3,1558.4,,,,,,,
53.1,97.4,194.5,300.7,505.4,1038.4,1529.5,,,,,,,
53.6,97.8,193.3,303.4,512.3,1067.8,1524,,,,,,,
53,95.8,196.7,300,516,1098.7,1522.2,,,,,,,
51.8,95.5,204.3,301.3,512,1064.9,1535.8,,,,,,,
52,91.8,194.9,304.3,511.9,1070.1,1532.7,,,,,,,
50.8,95.8,200.9,301.9,509.9,1037,1534.3,,,,,,,
53,98.4,199.4,298.6,514.2,1035.5,1533.1,,,,,,,
52.2,97,199.3,304.7,512.4,1070.9,1538.5,,,,,,,
51.3,96,196.6,301.6,548,1102.6,1539.3,,,,,,,
53.2,96.8,197.6,302.9,515.9,1041.6,1535.2,,,,,,,
51,97.2,194.7,301.3,516.7,1040.6,1531.5,,,,,,,
51.2,97.2,195.7,301.4,514.4,1046.6,1536.9,,,,,,,
51.5,100.2,193.8,302.8,515,1038.5,1533.7,,,,,,,
52.6,99.7,197.4,301.5,509.3,1040,1536.4,,,,,,,
51.3,98.2,192.3,301.8,515.6,1047.3,1535.1,,,,,,,
55,99.4,196,299.5,512.9,1031.9,1538.5,,,,,,,
55,94.9,195.3,299.5,505.5,1040.3,1538.5,,,,,,,
49.3,92.5,197.6,304.9,512.5,1040.2,1538.8,,,,,,,
49.1,96.5,195.8,303.8,516,1034.6,1535.1,,,,,,,
55.2,100.4,196.2,302,516.8,1032.1,1542.8,,,,,,,
50.3,94.6,194.5,303.5,529,1076.9,1534.2,,,,,,,
49.7,94.8,193.7,302.9,511,1041.5,1531.5,,,,,,,
51.7,95.6,197.6,303.6,512.3,1064.3,1537.1,,,,,,,
54.4,95.7,197.3,304.2,511.2,1102.7,1532.9,,,,,,,
54.5,95,195.5,304.3,510.8,1044.2,1534.9,,,,,,,
50.2,94.7,193.1,301.5,513.9,1036.8,1538.5,,,,,,,
49.5,99.1,195.8,302.1,513.9,1031.8,1533.6,,,,,,,
50.5,94.5,198.2,303.9,508.6,1039.6,1536.9,,,,,,,
50,99.3,198.4,302.7,508.8,1040.7,1534.5,,,,,,,
58.3,96.2,192.9,301.1,509.7,1045.7,1539.2,,,,,,,
49.1,95.9,198.8,302.9,520.1,1040.7,1533.6,,,,,,,
52,97.3,195.3,304.2,518.3,1038.1,1530.3,,,,,,,
50.6,97,193,302.8,511.6,1035.8,1542.4,,,,,,,
52.1,99.8,194.5,302.7,517.6,1039.7,1544.4,,,,,,,
52.1,97.8,197.2,299.2,499.6,1038.5,1548.1,,,,,,,
48.1,101.1,195.2,299.4,518.9,1042,1552.9,,,,,,,
52.1,99.6,198.1,301.7,518.3,1041.1,1543.7,,,,,,,
52.2,97.7,198.5,302.2,517.6,1036.3,1539.4,,,,,,,
56.8,100.9,193.6,303.2,507.4,1052,1536.7,,,,,,,
54.6,101.7,195.8,303.2,511.1,1076,1540.9,,,,,,,
54,101,199.6,304.1,516.7,1036,1531.2,,,,,,,
47.8,100.4,198.3,301.5,507,1041.2,1543.5,,,,,,,
53.1,101.1,200.5,297.9,511.8,1024.4,1544.2,,,,,,,
51.2,96.1,196.9,304.5,509.9,1044.2,1541.1,,,,,,,
51.6,99.3,197.8,302.4,511.4,1048,1545.1,,,,,,,
49.4,100,197.3,303.1,512.3,1041.9,1538,,,,,,,
50.3,101.9,199.6,304.6,507.7,1037,1542.2,,,,,,,
48.1,100.9,196.6,300.6,515.1,1045.8,1545.8,,,,,,,
55.6,99.8,198.5,303.2,513.5,1041.6,1542.8,,,,,,,
53.7,100.7,197.1,302,516.4,1040.3,1544.8,,,,,,,
52.7,102.9,197,302.7,510.7,1037.4,1540.4,,,,,,,
49.8,95.7,199.6,301.6,511.1,1033.5,1544.8,,,,,,,
53.9,99.9,199.7,302.7,518.8,1041.7,1547.8,,,,,,,
50.3,97,202,301.6,516.1,1043.2,1540.8,,,,,,,
53.9,97,197,304.5,505.8,1040.1,1548.3,,,,,,,
48.5,99.1,197.5,303.5,510.7,1093.8,1543.2,,,,,,,
54.1,101.2,197.4,301.8,513.3,1037.8,1544.1,,,,,,,
54.2,94.6,203.5,303.2,512.1,1050.3,1536.5,,,,,,,
50.3,98.2,199.5,300.4,511.2,1038.9,1537.4,,,,,,,
52.6,99.5,196.6,302.8,522.3,1037.9,1548.3,,,,,,,
54.3,96.5,198.2,301.8,519.3,1051.4,1539.8,,,,,,,
52.5,99.9,197.2,303.1,515.5,1033.2,1542.9,,,,,,,
51.9,95.9,195.6,302.3,539,1037.8,1549.1,,,,,,,
49.6,99.4,200.5,301,512.9,1032.2,1540.7,,,,,,,
54.4,97.4,197.2,299.8,519.1,1040.9,1540.3,,,,,,,
52.1,98.3,194.4,302.9,509.9,1036.8,1535.8,,,,,,,
51.1,97.1,195.8,302.3,511,1039.3,1544.7,,,,,,,
51.2,97.9,195.1,306,514.4,1044.2,1540,,,,,,,
50,97.5,194.6,306.8,511.7,1043.5,1544,,,,,,,
54,102.7,194.9,304.2,516,1034.9,1537.8,,,,,,,
49.6,100.4,194,304.5,519.8,1038.2,1544,,,,,,,
51.6,100.7,195.1,303.8,521.8,1066.9,1539,,,,,,,
52.2,92.7,194.1,306.4,517.1,1034,1543.6,,,,,,,
55.7,101.8,194.7,305.5,516.6,1039.9,1538.8,,,,,,,
49.2,97.1,191.1,302.6,515.6,1037.5,1537.5,,,,,,,
54.3,100.7,191.9,302.7,512.2,1043.6,1542.5,,,,,,,
51.6,100.7,197.8,305.1,516.5,1028.6,1531.5,,,,,,,
54.6,102,196,301.3,513.3,1033.9,1538.1,,,,,,,
52,100.2,195.2,305.5,511.1,1043.2,1567.9,,,,,,,
50.7,102,190.8,300.4,516.5,1031.6,1542.8,,,,,,,
49.9,98.9,193.3,302.4,517.2,1039.3,1538.2,,,,,,,
54.9,105.1,196.7,302.3,513,1037.2,1544.7,,,,,,,
49.8,101.7,196.2,301.2,517.5,1041.6,1549.1,,,,,,,
51.1,99.8,195.3,303.3,513.2,1037.3,1542.8,,,,,,,
49.9,100.3,196.1,303.3,512.9,1044.1,1538.8,,,,,,,
53.5,99.8,198.3,306,516,1035.1,1541.5,,,,,,,
50.7,100.4,194.6,304,515,1048.1,1544.7,,,,,,,
53.7,99.8,199.6,301,517.7,1030.5,1542.2,,,,,,,
45.4,98,195.1,301.8,507.6,1038.2,1536.6,,,,,,,
51.7,99.5,195.7,302.1,519.2,1039.2,1538,,,,,,,
48.5,102.7,197.5,303.2,515.5,1038.7,1541.3,,,,,,,
54.3,104.7,195.5,302.5,508.9,1042.7,1542.2,,,,,,,
54.9,99.2,195.3,306.3,517.1,1067.4,1541.3,,,,,,,
52.9,98.1,201.3,303.2,511.9,1031.8,1542.2,,,,,,,
52.3,99.5,196.5,302.6,520.9,1044.4,1545.4,,,,,,,
51.2,105.7,195.6,305.1,510.5,1039.1,1543.1,,,,,,,
57.6,104.4,196.3,303.6,516.7,1042.7,1535.6,,,,,,,
51.7,104.7,197.9,301.5,523.4,1038.7,1536.7,,,,,,,
54.1,100.7,197.9,301.6,521,1048.1,1541.1,,,,,,,
53.9,99.6,193.7,299.9,509.3,1065.1,1536.8,,,,,,,
56,99.2,195,304.8,510.7,1067,1532.7,,,,,,,
49.6,103,197.8,302.2,513.3,1038.7,1537.4,,,,,,,
51.4,102.2,195.1,304.5,512.1,1033,1543.1,,,,,,,
48.8,101,195.8,302.4,511.2,1033.1,1539.9,,,,,,,
56.5,99.7,199.2,301.2,512.3,1031.8,1538.2,,,,,,,
59.3,100.3,197.2,300.7,519.3,1038,1544,,,,,,,
51.9,99.9,196.9,302.9,515.5,1042.5,1542.7,,,,,,,
48.9,98.8,194.6,307.3,517,1035.8,1531.5,,,,,,,
51.8,100.9,194.3,301.6,512.9,1036.7,1533.7,,,,,,,
50,103.2,195.9,301.5,519.1,1061.3,1538.2,,,,,,,
49.9,102.1,195.2,303.8,509.9,1037.2,1541.1,,,,,,,
51,98.2,197.8,303.4,528,1042.4,1540.9,,,,,,,
54.5,99,193.8,300.9,514.4,1035.7,1538.3,,,,,,,
51.4,104.4,198.4,304.8,511.7,1042.9,1545.8,,,,,,,
54.2,101.3,195.1,305.4,516,1033.1,1544.9,,,,,,,
53.4,102.6,195.4,305.4,519.8,1040.9,1541.9,,,,,,,
56.7,104.5,194.7,304.5,521.8,1035.8,1544.4,,,,,,,
51.1,98,195.3,303.4,517.1,1045.2,1535.1,,,,,,,
53.4,96.7,195.7,304.3,516.6,1068.1,1535.2,,,,,,,
55,102.4,198.1,301.4,515.6,1039.1,1534.3,,,,,,,
49.8,102.4,197.3,301.2,512.2,1047.9,1541,,,,,,,
55,101.5,193.9,302.2,516.5,1041,1543.6,,,,,,,
52.8,102,197.9,303.5,513.3,1036.9,1543.9,,,,,,,
51.6,100.5,198.6,300.2,511.1,1040.3,1545.2,,,,,,,
49.6,98,196.5,303.4,516.5,1040.3,1538.6,,,,,,,
53.1,102.9,197.3,303.5,517.2,1045.2,1539.6,,,,,,,
52.1,104.1,198.2,303.5,513,1043.7,1538.3,,,,,,,
49,100.5,197.1,304,517.5,1042,1544.8,,,,,,,
52.1,102.5,196,303.6,513.2,1042.5,1542.4,,,,,,,
51.6,100.5,199.3,303.9,512.9,1076.6,1540,,,,,,,
52.2,97.7,196.1,302.9,516,1039.4,1542.3,,,,,,,
57.2,99.3,194.1,307,515,1068.9,1540.2,,,,,,,
51.7,101.1,197.1,305.5,517.7,1066.1,1539.2,,,,,,,
51.7,100.1,198.4,306.6,507.6,1036.2,1536.6,,,,,,,
57.4,102,195.5,305,519.2,1030.7,1538,,,,,,,
50.9,99.1,193.5,303.2,515.5,1052.7,1540.6,,,,,,,
49.9,100.9,198.6,302.8,508.9,1056.2,1539.6,,,,,,,
50.1,101.8,197.1,299.5,509.6,1063.7,1542.9,,,,,,,
52,98.9,197.7,301.7,515.8,1044.2,1538.7,,,,,,,
52.4,98.6,194.3,303.5,505.4,1043.3,1538.8,,,,,,,
53.3,95.3,198.9,301.8,512.3,1034.8,1540.4,,,,,,,
47.7,102.2,194.9,302.7,537,1039.4,1538.8,,,,,,,
50.8,96.1,197.6,300.8,512,1040,1543.8,,,,,,,
47.5,98.6,195.2,301.9,511.9,1047.3,1540.7,,,,,,,
50,92.4,197.5,302.2,509.9,1044.7,1544,,,,,,,
54.3,101.4,197.6,301.3,514.2,1041.7,1546.6,,,,,,,
49.9,98.9,195.6,304.5,512.4,1066.2,1541.1,,,,,,,
50.8,101,196.7,302.1,508.4,1037.5,1545.5,,,,,,,
51.8,96.3,194.8,301.8,515.9,1039.1,1542.2,,,,,,,
50.6,98.8,192.9,303.2,516.7,1039,1535.8,,,,,,,
47.3,91.8,198.3,302.5,514.4,1037.4,1537,,,,,,,
51.6,98,197,302.9,515,1043.1,1538.6,,,,,,,
52.4,93.7,198.5,301.9,509.3,1041.8,1536.8,,,,,,,
51.9,95.6,199.4,302.6,515.6,1035.8,1540,,,,,,,
53.4,93.1,195.9,300.2,512.9,1038.4,1538.6,,,,,,,
53.1,96.8,195.6,300.8,505.5,1036,1540.2,,,,,,,
50.9,96.1,195.7,302.7,512.5,1043.8,1544.3,,,,,,,
52.2,91.3,197.7,304.1,516,1041.5,1540.3,,,,,,,
53.5,95.8,194.6,303.2,516.8,1036.7,1542,,,,,,,
51.6,97.6,197.2,302.2,513.6,1044.4,1540.2,,,,,,,
52.8,96.9,196.4,300.5,511,1098.2,1541.1,,,,,,,
52,99,197.8,301.7,512.3,1041.8,1544.5,,,,,,,
55.8,94.7,192.8,303.7,511.2,1036.7,1545.5,,,,,,,
54.5,94.8,198.5,303.3,510.8,1037.4,1535,,,,,,,
55.5,95.6,196.8,306.2,513.9,1039.1,1537.9,,,,,,,
56.9,95.2,196.1,300.5,513.9,1042.7,1544.4,,,,,,,
51.4,96.9,198.8,302.6,508.6,1042.2,1540.1,,,,,,,
54.3,95.1,196.3,304.5,508.8,1040.9,1540.2,,,,,,,
52.7,104.6,197,303,509.7,1041.1,1542.4,,,,,,,
55.9,99.5,196.7,301.9,520.1,1029.4,1542,,,,,,,
55.3,101.6,198.6,300.6,518.3,1042.7,1536.5,,,,,,,
55.6,97.6,196.7,303.2,511.6,1034.5,1540.2,,,,,,,
57.5,94,198,299.4,517.6,1046.9,1543.7,,,,,,,
53.1,96.1,198.1,305.6,519.1,1031,1541.5,,,,,,,
54.5,99.4,199,305.6,518.9,1037.4,1539.9,,,,,,,
54.2,102.8,195.7,302.9,518.3,1045.5,1543.1,,,,,,,
57.8,100.9,197.9,303.2,517.6,1040.1,1538.4,,,,,,,
59,99,198.4,303.1,507.4,1036.6,1542,,,,,,,
54,94.2,196.2,306,511.1,1049.1,1537.7,,,,,,,
56.4,100.4,200.3,302.9,516.7,1037,1544.6,,,,,,,
55,104.2,198.5,303.1,507,1038.2,1549.1,,,,,,,
55.6,103.1,199.2,302.6,511.8,1040.7,1546.4,,,,,,,
54.5,105.4,196.1,303.6,509.9,1039,1543.1,,,,,,,
55.1,107.9,197.7,301.7,511.4,1042.4,1552.1,,,,,,,
55.2,99.4,196.5,303.1,512.3,1035.8,1542.4,,,,,,,
59,100.8,198.1,302.1,507.7,1041.9,1534,,,,,,,
55.3,100.7,197.2,302.5,515.1,1043.1,1544.3,,,,,,,
56.5,98.2,199.1,304.5,513.5,1036.3,1542.3,,,,,,,
57.1,98.7,198.7,306,516.4,1042.4,1545.3,,,,,,,
51.1,102.3,199.3,304.2,510.7,1042,1537.4,,,,,,,
55.4,98.7,197.7,302.8,511.1,1037.7,1542.5,,,,,,,
56.9,98,195.8,302,518.8,1036.4,1535.1,,,,,,,
56,97.5,195.9,305.2,516.1,1041.4,1540.9,,,,,,,
57.2,97,195.9,301.9,505.8,1041.4,1546.4,,,,,,,
58.5,97.5,192.9,301.6,510.7,1045.2,1557,,,,,,,
56.5,100,198.8,303.3,513.3,1032.4,1540.5,,,,,,,
