d_mea1,d_mea2,d_mea3,d_mea4,d_mea5,d_mea6,d_mea7,,,,,,,
52.8,95.4,199.6,306,512.1,1039.9,1528.8,,,,,,,
55.2,93.6,194.8,299.2,511.2,1043.3,1545.7,,,,,,,
52.3,95.4,196.8,304.5,522.3,1040.2,1547,,,,,,,
55.6,99,201.9,304.9,519.3,1042.3,1547.5,,,,,,,
57.9,102.4,201.2,303.7,515.5,1073.1,1538.1,,,,,,,
50.8,97.4,199.3,304.5,517,1102.2,1547.2,,,,,,,
51.1,97.2,198.5,300.6,512.9,1045,1543.3,,,,,,,
53.1,96.3,199.7,302.8,519.1,1043.3,1541.5,,,,,,,
49.3,98.8,197.6,305.1,509.9,1042.3,1539.4,,,,,,,
55.1,92.7,197.9,299.5,511,1036.6,1546.4,,,,,,,
54.7,94.4,199.1,301.9,514.4,1036.1,1541.8,,,,,,,
52.6,96.1,199.4,304.4,511.7,1044.9,1547.6,,,,,,,
51.8,93.8,199,302.2,516,1039,1547.6,,,,,,,
49.2,98.3,199.2,300.4,519.8,1035.6,1549.4,,,,,,,
57.1,95.4,193.5,305.7,521.8,1039,1539.8,,,,,,,
52.7,93.4,198,302.4,517.1,1039.3,1538,,,,,,,
51.7,97.2,195.7,302.4,516.6,1034.3,1539.2,,,,,,,
56.3,95.9,200,302.8,515.6,1038.8,1543.9,,,,,,,
48,93.4,198.2,299.5,512.2,1037.2,1538.4,,,,,,,
60.4,100.6,200.9,298.4,516.5,1041.4,1533.7,,,,,,,
48.6,98.1,197.3,305.3,513.3,1072.6,1538.8,,,,,,,
56.3,96.1,195.7,301.4,511.1,1043.5,1537.3,,,,,,,
59.3,96.1,199,298.3,516.5,1040.1,1540,,,,,,,
53.3,100.9,194.7,302.4,517.2,1042.5,1544.5,,,,,,,
55.9,96.5,196.9,301.9,513,1036.1,1545.8,,,,,,,
50.9,95.9,198.8,301.4,517.5,1035.2,1551.8,,,,,,,
50.1,90.4,199.2,303.8,513.2,1041.2,1545.7,,,,,,,
48.1,97.4,193.7,302.7,512.9,1038.8,1548.1,,,,,,,
48.6,99.9,198.8,303.9,516,1042.1,1546.6,,,,,,,
49,99.4,197.3,301.9,515,1036,1541.8,,,,,,,
53.6,100.3,202.4,301.1,517.7,1039.1,1539.6,,,,,,,
58.2,100.4,203.5,301.9,507.6,1066.7,1542.2,,,,,,,
51.1,100.6,197.9,306.7,519.2,1043.3,1545.5,,,,,,,
55,94.1,199.3,300.6,515.5,1034.2,1541,,,,,,,
52.9,94,200.3,299.1,508.9,1033.9,1538.7,,,,,,,
55.1,90.8,199.8,303.4,517.1,1041.3,1545.6,,,,,,,
44.9,95,196.4,303.5,511.9,1040.4,1551.4,,,,,,,
52.5,93.4,198.7,301.7,520.9,1035.3,1542.3,,,,,,,
54.3,93.9,201.6,305.3,510.5,1032.8,1548.1,,,,,,,
50.7,93.7,197.7,305.7,516.7,1028.7,1528.9,,,,,,,
55.1,97.5,197.2,304.1,523.4,1035.4,1541.1,,,,,,,
47.1,96.5,198.7,306.9,521,1037.3,1546.3,,,,,,,
56.9,94.3,195.9,303.3,509.3,1036.1,1548.9,,,,,,,
48.1,93.7,197.6,299.9,510.7,1068.4,1546,,,,,,,
45,99.9,196.9,304.3,513.3,1035.5,1538.4,,,,,,,
47.3,97.9,200.6,303.2,512.1,1028.4,1543.5,,,,,,,
57.1,101.4,200.3,298.7,511.2,1044.1,1544.7,,,,,,,
54.1,98.9,200,304.9,512.3,1042.2,1540.1,,,,,,,
51.5,97.5,198.6,303,519.3,1047.9,1546.5,,,,,,,
56.9,98.4,200.1,303.7,515.5,1064.6,1538.9,,,,,,,
56.1,100.4,198.3,302.4,517,1043.1,1542.3,,,,,,,
53.3,101.4,198.9,302,512.9,1035.5,1545.1,,,,,,,
55.8,100.9,199.9,303.9,519.1,1041.7,1543.8,,,,,,,
54.5,99,197.9,302.7,509.9,1041.6,1542.3,,,,,,,
58,99,196.1,305.1,511,1051,1542.5,,,,,,,
50.6,100.7,197.9,302.5,514.4,1048.9,1539.5,,,,,,,
54.1,103.2,198.2,304.8,511.7,1039.3,1540.4,,,,,,,
56.3,97.5,202.2,300.3,516,1036.7,1541.6,,,,,,,
52.3,100.6,197.3,301.8,519.8,1035.8,1540,,,,,,,
48.1,104.5,199.7,302.3,521.8,1034.3,1537.5,,,,,,,
55,102,199.9,302.3,517.1,1038.7,1545.4,,,,,,,
51.7,101.2,200.5,304.3,516.6,1043,1541.1,,,,,,,
49.8,102.6,198.9,300.9,515.6,1035.8,1539.9,,,,,,,
54.2,107,199.4,302.4,512.2,1041.3,1541.5,,,,,,,
52,99.1,197.6,305.9,516.5,1048.4,1538.8,,,,,,,
48.9,103.4,194.4,305.6,513.3,1040.1,1539.2,,,,,,,
53.3,98.1,198.3,303.7,511.1,1033.5,1544.9,,,,,,,
49.1,99.5,201.5,302.4,516.5,1038.6,1538.2,,,,,,,
54.7,99.3,199,303.6,517.2,1033.7,1543.5,,,,,,,
51.2,95.8,202.2,302.3,513,1043.5,1543.5,,,,,,,
49.1,101.4,202.4,306.1,517.5,1039.3,1542.2,,,,,,,
55.9,99.5,199.6,306.2,513.2,1038.1,1539.1,,,,,,,
52,99.3,198.5,302.7,512.9,1035.8,1546.4,,,,,,,
47.3,98.1,198.1,301.4,516,1039.1,1537.4,,,,,,,
52.8,99.8,197.7,303.8,515,1038.8,1538,,,,,,,
49.4,95.4,199.5,302.8,517.7,1035.7,1538.4,,,,,,,
54.4,94.8,198.3,305.5,507.6,1049.6,1535.5,,,,,,,
53.6,94.3,200,303.8,519.2,1042.7,1547.5,,,,,,,
53.4,94.2,196.3,305.5,515.5,1038.8,1548.2,,,,,,,
48.8,97.7,200.3,300.7,508.9,1040,1537.5,,,,,,,
52.6,96.4,198.9,303.4,509.6,1041.2,1539.4,,,,,,,
50.7,95.4,198.6,304.1,515.8,1094.9,1545,,,,,,,
51.3,95.4,196.5,299.7,505.4,1040.8,1540.4,,,,,,,
52.7,93.5,198.6,304.7,512.3,1042.3,1542.3,,,,,,,
48.7,97.1,203.5,302.6,516,1039.2,1543.6,,,,,,,
47.4,94.5,200.6,300.9,512,1041.2,1541.1,,,,,,,
54.7,96.2,199.4,305.2,511.9,1036.5,1545.7,,,,,,,
50,96.7,199.3,304.3,509.9,1046,1541.2,,,,,,,
48.6,93.7,198.8,305.7,514.2,1041.9,1546.3,,,,,,,
49.8,96.6,198.6,303.7,512.4,1040.4,1544.1,,,,,,,
52.3,92.9,199.8,304.5,508.4,1040.1,1543.4,,,,,,,
50.9,94.1,200.4,303.6,515.9,1071.2,1538.2,,,,,,,
48.9,97.3,199.4,301.2,516.7,1045.5,1550.4,,,,,,,
48.2,90.8,197.9,302.4,514.4,1040.8,1538.3,,,,,,,
48.2,98.6,199.7,308.1,530,1038,1542.1,,,,,,,
54.8,92,202.2,302,509.3,1042.3,1545.6,,,,,,,
51,95,198.4,302.1,515.6,1041.9,1545.3,,,,,,,
48.7,94.2,200.3,300.2,512.9,1038.8,1540.4,,,,,,,
53.2,93.6,196.6,302.8,505.5,1036.4,1541.7,,,,,,,
50.4,95.4,196.1,307.8,512.5,1041.4,1546.7,,,,,,,
52.6,92.5,197.5,303,516,1044.7,1534.6,,,,,,,
49.1,93.7,197.9,304.2,516.8,1035.2,1541.2,,,,,,,
51,97.4,200.6,301.8,513.6,1042.8,1532.6,,,,,,,
53.9,97.5,196.5,300.8,511,1043.5,1544.1,,,,,,,
55,95,197.6,305.3,512.3,1042.7,1545.8,,,,,,,
48.5,92.6,195.8,300.6,511.2,1042.1,1543.5,,,,,,,
50.9,95.3,198.5,308.2,510.8,1043.3,1543.2,,,,,,,
52.3,93.8,202.8,302,513.9,1043,1545.5,,,,,,,
53.8,96.1,201,302,513.9,1041.6,1545.1,,,,,,,
52.5,96.3,197.6,301.8,508.6,1044.5,1543.6,,,,,,,
54.6,93.1,201,301.3,508.8,1042.5,1540.6,,,,,,,
55.6,92.7,198.2,304.5,509.7,1043.5,1542.5,,,,,,,
53.5,94.6,197,301.8,520.1,1031.2,1538.8,,,,,,,
52.5,97.3,198.5,301.4,518.3,1040.1,1542.3,,,,,,,
53.8,94.9,202.2,303.2,511.6,1037.2,1546.3,,,,,,,
53.5,94.9,197.3,301.9,517.6,1044.9,1541.1,,,,,,,
52.3,95.8,200.7,303,519.1,1043.5,1538.3,,,,,,,
52.7,96.2,199.7,300.9,518.9,1039.6,1545.5,,,,,,,
51.4,99.3,201.6,300.6,518.3,1043.4,1541.6,,,,,,,
51,96.4,200.3,304.5,517.6,1041.4,1541.7,,,,,,,
54.5,93.9,197.6,303,507.4,1032.9,1535.3,,,,,,,
55.3,95,202.4,301.9,511.1,1039.6,1543.3,,,,,,,
52.6,94.9,199.2,304.6,516.7,1035.6,1547.5,,,,,,,
53,95.9,200.1,303.4,520,1045.4,1541.2,,,,,,,
52.5,90.4,201.7,302.8,511.8,1094.7,1547.1,,,,,,,
53.4,96.9,201.2,301.2,509.9,1068.1,1536.3,,,,,,,
52.1,96.2,199.7,296.4,511.4,1047.2,1539.8,,,,,,,
52,97.4,199.6,307.8,512.3,1046.4,1535.5,,,,,,,
53.9,94.6,203,302.3,507.7,1044.4,1544,,,,,,,
48.8,94.9,202.3,298.7,515.1,1038.3,1544.3,,,,,,,
51,92.5,204.2,304.7,513.5,1046.5,1544,,,,,,,
52.2,92.9,197.8,300.4,516.4,1038,1541.3,,,,,,,
54.1,96.4,199.3,302.1,510.7,1045.8,1546.9,,,,,,,
52.8,93.2,196.3,301.5,511.1,1043.1,1535.6,,,,,,,
53.2,93.6,196.4,303.2,518.8,1041.7,1540.7,,,,,,,
52,97.9,199.1,302.7,516.1,1067.7,1541.7,,,,,,,
52.9,95.4,199.2,302,505.8,1065.3,1544.1,,,,,,,
55.1,95.9,197.3,305.2,510.7,1031.9,1541.9,,,,,,,
53.3,97.5,200.3,304.5,513.3,1035,1544.7,,,,,,,
53.2,96.3,196.2,301,512.1,1042.5,1550,,,,,,,
53,96.3,199,306.4,511.2,1036.8,1539,,,,,,,
55.9,95.1,198.6,304.6,522.3,1045.5,1541.3,,,,,,,
52.2,94.8,197.6,302.4,519.3,1046.6,1543.6,,,,,,,
55.5,96.8,196.2,301.4,515.5,1046.5,1544.5,,,,,,,
54.9,92.3,196.6,303,517,1042.4,1551.7,,,,,,,
54.8,94.6,199,306.2,512.9,1043.1,1550.8,,,,,,,
51.5,93.3,199,305,519.1,1037.8,1538,,,,,,,
55.3,94.2,199.8,304.8,509.9,1050.9,1542.2,,,,,,,
55.7,95.9,197,301.5,511,1049.4,1542.9,,,,,,,
55.5,96.9,199.1,303.1,514.4,1039,1557.8,,,,,,,
57.9,93.1,199,301.4,511.7,1045.9,1550.5,,,,,,,
52.9,95,202.5,299.1,516,1044.4,1540,,,,,,,
49.7,97.9,202,303.8,519.8,1041.9,1544.5,,,,,,,
55.4,95.6,196,304.8,521.8,1041.4,1540.4,,,,,,,
53.5,93.8,199.9,301.1,517.1,1035,1546.4,,,,,,,
53.5,90.6,196.2,303.1,516.6,1039,1547.6,,,,,,,
55.7,93.8,197.3,306.9,515.6,1039.8,1543.9,,,,,,,
49.1,92.3,195.7,303.8,512.2,1048,1542.7,,,,,,,
54.4,96.1,197.3,304.2,516.5,1044.6,1542.8,,,,,,,
53.8,95.2,197.4,309.4,513.3,1037.2,1545.1,,,,,,,
53,93.1,201.3,301.6,511.1,1041.1,1548.2,,,,,,,
51.2,98.5,195.9,303.5,516.5,1044.3,1542.6,,,,,,,
55.9,92.9,196.3,301.3,517.2,1032.8,1544.7,,,,,,,
50.2,90,200.4,303.4,513,1040.2,1535.6,,,,,,,
53,96.5,195.3,303.5,517.5,1043.6,1548.2,,,,,,,
54.6,94.6,201.1,302.5,513.2,1035.1,1536.4,,,,,,,
57.4,94.7,195.8,303.8,512.9,1034.5,1538.6,,,,,,,
56,94.6,197.7,301.9,516,1029.8,1542.4,,,,,,,
56.1,96.2,198.4,305.3,515,1037.4,1542.1,,,,,,,
53.5,93.1,199.1,303.4,517.7,1026.5,1546.8,,,,,,,
57.4,92.7,196.6,303.9,507.6,1044.1,1552.1,,,,,,,
50.9,95.9,195.6,304.3,519.2,1044.6,1540.9,,,,,,,
53.6,95.8,199.4,301.5,545,1033.5,1535.7,,,,,,,
59,94.2,195.8,303,508.9,1042.6,1540.1,,,,,,,
51,93.8,198.8,302.8,517.1,1043.1,1546.1,,,,,,,
56.1,98.3,197.4,302,511.9,1041.5,1540.5,,,,,,,
57.8,93.4,197.8,306.3,520.9,1044.3,1552.3,,,,,,,
53.1,95,197.7,302.3,510.5,1041.2,1544.7,,,,,,,
53.9,96.2,197.3,305.7,516.7,1039.1,1544.2,,,,,,,
57.8,98.1,196.5,301.6,523.4,1044.3,1544.4,,,,,,,
52.8,95.6,193.6,303.3,521,1037.1,1546.1,,,,,,,
53.6,95.4,197,300.2,509.3,1040.7,1541,,,,,,,
56.7,96,198.5,302.9,510.7,1046.2,1542.6,,,,,,,
51.2,92.8,195.2,304,513.3,1040.7,1539.5,,,,,,,
50.3,98.2,199,304.6,512.1,1048.5,1541.6,,,,,,,
55.4,95.1,198.2,304.4,511.2,1033.8,1546.5,,,,,,,
57.7,93.9,196.6,300.6,512.3,1039.4,1540.3,,,,,,,
55.8,94.7,200.8,303.5,519.3,1043.7,1542.9,,,,,,,
53.9,97.8,200.5,306.6,515.5,1039.1,1545.6,,,,,,,
53.4,96.2,196.6,301.8,517,1044.6,1548.7,,,,,,,
54.1,97.3,196.3,302.9,512.9,1044.4,1537.3,,,,,,,
53.7,97.2,199.2,304,519.1,1043.6,1539.8,,,,,,,
52.4,93.1,200.7,302.3,509.9,1036.5,1535.9,,,,,,,
49.6,95.5,192.2,299.8,511,1041.2,1541,,,,,,,
50.1,94.8,195.5,304.7,514.4,1038,1547.9,,,,,,,
52.7,97,197.3,305.2,511.7,1040.7,1537.6,,,,,,,
53.7,94.4,198.2,305.4,516,1030.5,1542,,,,,,,
52.7,93.1,195.7,301.9,519.8,1035.6,1553,,,,,,,
53.3,94.9,194.7,303,521.8,1029,1538.2,,,,,,,
51.4,95.2,193.2,303.8,527,1038.5,1541.9,,,,,,,
47.7,94.5,196.4,306.8,516.6,1041.5,1542.8,,,,,,,
50,92.9,198,300.4,515.6,1043.6,1540.3,,,,,,,
