27.5,28.8,38,41.8,,16.78362297,13.51661139,18.30956034,20.94352419
30.3,25.4,27.6,37.2,,17.52854814,,25.95380512,
22.9,30.7,31.9,39.2,,19.46535384,,22.32151429,
43.7,27.4,29,38.7,,13.13202193,35.3112069,23.9726928,32.0140625
29.6,28.4,39.3,41.6,,15.57947368,28.67672414,18.4133104,41.2328125
39.8,31.1,29.8,37.9,,8.902246907,,24.34029581,
35.7,25.7,35.7,39.5,,14.93251486,,20.94612136,
35.6,29.2,25,41.6,,11.66190379,,23.7394187,
36.3,26.9,31,36.7,,13.61249426,,24.97779013,
37.1,29.3,34.4,40.3,,11.08602724,,20.48047851,
37.6,27.2,30.4,38.3,,13.02305648,,23.72867464,
38.4,31.9,32,39.4,,8.256512581,,22.09886875,
34,32.3,26.9,37.5,,9.761659695,,26.03574466,
32.6,32.3,29.9,38.8,,10.67941946,,23.48297255,
36.1,32,26.9,39.8,,8.9,,24.07592158,
35.8,28.4,36.2,36.1,,12.33693641,,24.20020661,
29.7,22.3,32.9,36.1,,20.47876949,,24.93230836,
34.3,22.5,30.1,35.6,,18.40489065,,26.33191979,
20.8,28.7,31.8,36.1,,22.27846494,,25.26756815,
28.1,36,25.5,41.9,,12.55428214,,23.1918089,
21.9,23.6,32.1,36.8,,24.4247825,,24.50816191,
33.6,27.7,44.5,41.8,,13.86542462,,18.74806657,
35,28.2,30,39.1,,12.81561547,,23.16916054,
24.8,26.8,36,35.6,,20.13156725,,24.72569514,
29.2,31.2,31.8,39,,13.93125981,,22.54417885,
27.2,27.6,30.4,40.1,,17.82133553,,22.09456947,
27.6,30.2,35.1,40.5,,15.80506248,,20.10621794,
31.1,32.9,26.8,39,,11.38507795,,24.80403193,
36.4,35.6,32.5,38.1,,5.685068161,,23.14865007,
38.5,23.7,31,36.9,,16.3688729,,24.79132913,
37.8,27.1,28.3,42.5,,13.08625233,,21.05089072,
39.2,28.6,30.7,37.9,,11.4280357,,23.97707238,
36.9,23.8,31.4,43.1,,16.49393828,,18.96233108,
35.9,29.3,34.1,40.9,,11.45862121,,19.99049774,
30.1,29.8,35.9,39.8,,14.21442929,,20.61188977,
31.6,31.8,29.5,39,,11.73882447,,23.47871376,
32.7,34.8,27.6,32.3,,8.962700486,,30.34880558,
34.8,33.8,38.3,40.8,,8.09197133,,19.27511349,
30,29.4,42.4,39.5,,14.57257699,,20.64000969,
27.1,33.9,27.2,47.8,,14.269548,,17.68275997,
24.2,24.3,29.3,51.6,,22.27397585,,13.60330842,
25.7,29,38.7,46.1,,18.04134141,,13.96065901,
43.7,25.1,28.6,44.1,,15.35252422,,19.56450868,
29.9,24.2,35.1,57.4,,18.75233319,,5.547071299,
47,28.2,28.4,53.6,,13.72005831,,13.24839613,
42.3,30,27.3,52.4,,10.26109156,,14.80033783,
29.1,27.3,26.5,51.5,,16.73618834,,15.95305613,
44,28.5,36.3,53,,12.17579566,,7.917701687,
47.2,26.3,33.6,50.1,,15.47675677,,11.78855377,
45.6,26.7,27.5,48.3,,14.43086969,,17.12133172,
49.7,31.1,31.8,40.6,,13.16434579,,21.06181379,
37.9,31.3,34.3,41.9,,8.949860334,,18.97630101,
41.9,31.8,34.2,39.8,,8.417244205,,21.01618424,
43.6,28.3,37.1,41.8,,12.24132346,,18.42959576,
30.1,22.4,28,37.4,,20.19331573,,25.58827857,
34.8,20.1,31.1,37.2,,20.56817931,,24.47549795,
36.8,29.2,34.2,40.6,,11.26410227,,20.24845673,
43.2,38.1,33.7,41.2,,3.721558813,,19.82750615,
42.1,23.2,32.4,43.1,,16.93074127,,18.53024555,
37.8,28.8,30.6,41,,11.41402646,,21.19811312,
40.6,22.2,40.7,43.2,,17.81010949,,16.81457701,
43.2,33.5,25.9,37.7,,7.244998275,,26.38370709,
42,26.6,34.8,40.6,,13.54843164,,20.08482014,
45.3,32.9,28.9,40.1,,8.860022573,,22.78639945,
45,26.3,,,,14.58389523,,,
40.4,27.9,,,,12.10660976,,,
38.1,26.3,,,,13.83112432,,,
41,26.2,,,,13.83618445,,,
39.3,28.5,,,,11.52128465,,,
38.8,30.2,,,,9.873196038,,,
30.2,33.1,,,,11.98540779,,,
30.5,25.7,,,,17.16799348,,,
33.5,28.8,,,,12.94951737,,,
28.7,21.8,,,,21.42265156,,,
32.6,31.3,,,,11.42147101,,,
33.6,26.3,,,,15.1211772,,,
33.9,26.3,,,,14.9966663,,,
27.5,25.5,,,,19.14418972,,,
24.7,16.6,,,,27.95800422,,,
25.5,26.4,,,,19.87988934,,,
27.1,25.2,,,,19.63288058,,,
25.9,25.5,,,,20.22523177,,,
28.2,28.4,,,,16.54690303,,,
26.6,25.8,,,,19.52434378,,,
36.7,26.6,,,,13.80036231,,,
33.7,30.3,,,,11.56633045,,,
38.9,27.6,,,,12.44869471,,,
40,29.8,,,,10.2,,,
34.2,26.1,,,,15.06154043,,,
32.3,31.3,,,,11.61808934,,,
41.4,38.5,,,,2.051828453,,,
34.9,24.2,,,,16.60271062,,,
31.6,30.1,,,,12.98345101,,,
38.8,27.9,,,,12.15935854,,,
38.8,28.6,,,,11.4629839,,,
37.8,31,,,,9.264987858,,,
38.4,29.2,,,,10.91787525,,,
33.7,28.3,,,,13.28834075,,,
39.2,32.4,,,,7.64198927,,,
37.2,30.4,,,,10,,,
34.8,31.5,,,,9.964436763,,,
40.4,30.9,,,,9.108786966,,,
43.4,26.8,,,,13.63084737,,,
42.1,28.4,,,,11.78855377,,,
40.4,28.4,,,,11.6068945,,,
35.4,28.9,,,,12.01540678,,,
31.7,34.4,,,,10.0124922,,,
36,28.1,,,,12.55428214,,,
36.6,27.9,,,,12.5686117,,,
41.1,30.6,,,,9.464142856,,,
37.6,27.4,,,,12.826535,,,
41.3,33.1,,,,7.021395873,,,
38.2,23.9,,,,16.20030864,,,
36.3,27.6,,,,12.94024729,,,
31.3,41.7,,,,8.864536085,,,
35.8,37.1,,,,5.103920062,,,
