d1(cm),d_real(cm),d_mea(cm),d2(cm),d_real(cm),d_mea(cm),d3(cm),d_real(cm),d_mea(cm),d4(cm),d_real(cm),d_mea(cm),d5(cm),d_real(cm),d_mea(cm),d6(cm),d_real(cm),d_mea(cm),d7(cm),d_real(cm),d_mea(cm)
50.6,,,100.7,,,197.9,,,302.5,,,516.4,,,1048.9,,,1539.5,,
54.1,,,103.2,,,198.2,,,304.8,,,508.1,,,1039.3,,,1540.4,,
56.3,,,97.5,,,202.2,,,300.3,,,514.8,,,1036.7,,,1541.6,,
52.3,,,100.6,,,197.3,,,301.8,,,512,,,1035.8,,,1540,,
48.1,,,104.5,,,199.7,,,302.3,,,513.7,,,1034.3,,,1537.5,,
55,,,102,,,199.9,,,302.3,,,511.4,,,1038.7,,,1545.4,,
51.7,,,101.2,,,200.5,,,304.3,,,516.5,,,1043,,,1541.1,,
49.8,,,102.6,,,198.9,,,300.9,,,527,,,1035.8,,,1539.9,,
54.2,,,107,,,199.4,,,302.4,,,519.8,,,1041.3,,,1541.5,,
52,,,99.1,,,197.6,,,305.9,,,518.3,,,1048.4,,,1538.8,,
48.9,,,103.4,,,194.4,,,305.6,,,512.7,,,1040.1,,,1539.2,,
53.3,,,98.1,,,198.3,,,303.7,,,564.5,,,1033.5,,,1544.9,,
49.1,,,99.5,,,201.5,,,302.4,,,509.4,,,1038.6,,,1538.2,,
54.7,,,99.3,,,199,,,303.6,,,517.3,,,1033.7,,,1543.5,,
51.2,,,95.8,,,202.2,,,302.3,,,513.3,,,1043.5,,,1543.5,,
49.1,,,101.4,,,202.4,,,306.1,,,509.8,,,1039.3,,,1542.2,,
55.9,,,99.5,,,199.6,,,306.2,,,510.5,,,1038.1,,,1539.1,,
52,,,99.3,,,198.5,,,302.7,,,515.1,,,1035.8,,,1546.4,,
47.3,,,98.1,,,198.1,,,301.4,,,521.2,,,1039.1,,,1537.4,,
52.8,,,99.8,,,197.7,,,303.8,,,511.9,,,1038.8,,,1538,,
49.4,,,95.4,,,199.5,,,302.8,,,513.8,,,1035.7,,,1538.4,,
54.4,,,94.8,,,198.3,,,305.5,,,520.3,,,1049.6,,,1535.5,,
53.6,,,94.3,,,200,,,303.8,,,521.9,,,1042.7,,,1547.5,,
53.4,,,94.2,,,196.3,,,305.5,,,516.2,,,1038.8,,,1548.2,,
48.8,,,97.7,,,200.3,,,300.7,,,514.5,,,1040,,,1537.5,,
52.6,,,96.4,,,198.9,,,303.4,,,508.3,,,1041.2,,,1539.4,,
50.7,,,95.4,,,198.6,,,304.1,,,514.8,,,1094.9,,,1545,,
51.3,,,95.4,,,196.5,,,299.7,,,526.1,,,1040.8,,,1540.4,,
52.7,,,93.5,,,198.6,,,304.7,,,511.8,,,1042.3,,,1542.3,,
48.7,,,97.1,,,203.5,,,302.6,,,507.7,,,1039.2,,,1543.6,,
47.4,,,94.5,,,200.6,,,300.9,,,517.2,,,1041.2,,,1541.1,,
54.7,,,96.2,,,199.4,,,305.2,,,520.8,,,1036.5,,,1545.7,,
50,,,96.7,,,199.3,,,304.3,,,510.2,,,1046,,,1541.2,,
48.6,,,93.7,,,198.8,,,305.7,,,514.1,,,1041.9,,,1546.3,,
49.8,,,96.6,,,198.6,,,303.7,,,510.4,,,1040.4,,,1544.1,,
52.3,,,92.9,,,199.8,,,304.5,,,511.5,,,1040.1,,,1543.4,,
50.9,,,94.1,,,200.4,,,303.6,,,517.2,,,1071.2,,,1538.2,,
48.9,,,97.3,,,199.4,,,301.2,,,509.8,,,1045.5,,,1550.4,,
48.2,,,90.8,,,197.9,,,302.4,,,512.9,,,1040.8,,,1538.3,,
48.2,,,98.6,,,199.7,,,308.1,,,511.2,,,1038,,,1542.1,,
54.8,,,92,,,202.2,,,302,,,514.1,,,1042.3,,,1545.6,,
51,,,95,,,198.4,,,302.1,,,511.1,,,1041.9,,,1545.3,,
48.7,,,94.2,,,200.3,,,300.2,,,512.7,,,1038.8,,,1540.4,,
53.2,,,93.6,,,196.6,,,302.8,,,516.4,,,1036.4,,,1541.7,,
50.4,,,95.4,,,196.1,,,307.8,,,509.6,,,1041.4,,,1546.7,,
52.6,,,92.5,,,197.5,,,303,,,515.6,,,1044.7,,,1534.6,,
49.1,,,93.7,,,197.9,,,304.2,,,512.6,,,1035.2,,,1541.2,,
51,,,97.4,,,200.6,,,301.8,,,509.2,,,1042.8,,,1532.6,,
53.9,,,97.5,,,196.5,,,300.8,,,516.2,,,1043.5,,,1544.1,,
55,,,95,,,197.6,,,305.3,,,517,,,1042.7,,,1545.8,,
48.5,,,92.6,,,195.8,,,300.6,,,512.3,,,1042.1,,,1543.5,,
50.9,,,95.3,,,198.5,,,308.2,,,516.8,,,1043.3,,,1543.2,,
52.3,,,93.8,,,202.8,,,302,,,516.2,,,1043,,,1545.5,,
53.8,,,96.1,,,201,,,302,,,517.2,,,1041.6,,,1545.1,,
52.5,,,96.3,,,197.6,,,301.8,,,520.1,,,1044.5,,,1543.6,,
54.6,,,93.1,,,201,,,301.3,,,518.7,,,1042.5,,,1540.6,,
55.6,,,92.7,,,198.2,,,304.5,,,520.4,,,1043.5,,,1542.5,,
53.5,,,94.6,,,197,,,301.8,,,519.5,,,1031.2,,,1538.8,,
52.5,,,97.3,,,198.5,,,301.4,,,515,,,1040.1,,,1542.3,,
53.8,,,94.9,,,202.2,,,303.2,,,516.6,,,1037.2,,,1546.3,,
53.5,,,94.9,,,197.3,,,301.9,,,512.5,,,1044.9,,,1541.1,,
52.3,,,95.8,,,200.7,,,303,,,519.8,,,1043.5,,,1538.3,,
52.7,,,96.2,,,199.7,,,300.9,,,516.2,,,1039.6,,,1545.5,,
51.4,,,99.3,,,201.6,,,300.6,,,516,,,1043.4,,,1541.6,,
51,,,96.4,,,200.3,,,304.5,,,508.2,,,1041.4,,,1541.7,,
54.5,,,93.9,,,197.6,,,303,,,513.9,,,1032.9,,,1535.3,,
55.3,,,95,,,202.4,,,301.9,,,517.9,,,1039.6,,,1543.3,,
52.6,,,94.9,,,199.2,,,304.6,,,515.4,,,1035.6,,,1547.5,,
53,,,95.9,,,200.1,,,303.4,,,519.4,,,1045.4,,,1541.2,,
52.5,,,90.4,,,201.7,,,302.8,,,516.9,,,1094.7,,,1547.1,,
53.4,,,96.9,,,201.2,,,301.2,,,517.1,,,1068.1,,,1536.3,,
52.1,,,96.2,,,199.7,,,296.4,,,512.9,,,1047.2,,,1539.8,,
52,,,97.4,,,199.6,,,307.8,,,527.7,,,1046.4,,,1535.5,,
53.9,,,94.6,,,203,,,302.3,,,506.4,,,1044.4,,,1544,,
48.8,,,94.9,,,202.3,,,298.7,,,509,,,1038.3,,,1544.3,,
51,,,92.5,,,204.2,,,304.7,,,518.4,,,1046.5,,,1544,,
52.2,,,92.9,,,197.8,,,300.4,,,517.4,,,1038,,,1541.3,,
54.1,,,96.4,,,199.3,,,302.1,,,508.5,,,1045.8,,,1546.9,,
52.8,,,93.2,,,196.3,,,301.5,,,513.8,,,1043.1,,,1535.6,,
53.2,,,93.6,,,196.4,,,303.2,,,521,,,1041.7,,,1540.7,,
52,,,97.9,,,199.1,,,302.7,,,513.9,,,1067.7,,,1541.7,,
52.9,,,95.4,,,199.2,,,302,,,512.3,,,1065.3,,,1544.1,,
55.1,,,95.9,,,197.3,,,305.2,,,521.2,,,1031.9,,,1541.9,,
53.3,,,97.5,,,200.3,,,304.5,,,513.5,,,1035,,,1544.7,,
53.2,,,96.3,,,196.2,,,301,,,511.9,,,1042.5,,,1550,,
53,,,96.3,,,199,,,306.4,,,516.9,,,1036.8,,,1539,,
55.9,,,95.1,,,198.6,,,304.6,,,516.4,,,1045.5,,,1541.3,,
52.2,,,94.8,,,197.6,,,302.4,,,507.8,,,1046.6,,,1543.6,,
55.5,,,96.8,,,196.2,,,301.4,,,513.6,,,1046.5,,,1544.5,,
54.9,,,92.3,,,196.6,,,303,,,518,,,1042.4,,,1551.7,,
54.8,,,94.6,,,199,,,306.2,,,510.2,,,1043.1,,,1550.8,,
51.5,,,93.3,,,199,,,305,,,520.6,,,1037.8,,,1538,,
55.3,,,94.2,,,199.8,,,304.8,,,519.3,,,1050.9,,,1542.2,,
55.7,,,95.9,,,197,,,301.5,,,519,,,1049.4,,,1542.9,,
55.5,,,96.9,,,199.1,,,303.1,,,514.1,,,1039,,,1557.8,,
57.9,,,93.1,,,199,,,301.4,,,519.9,,,1045.9,,,1550.5,,
52.9,,,95,,,202.5,,,299.1,,,519.9,,,1044.4,,,1540,,
49.7,,,97.9,,,202,,,303.8,,,510.1,,,1041.9,,,1544.5,,
55.4,,,95.6,,,196,,,304.8,,,513.8,,,1041.4,,,1540.4,,
53.5,,,93.8,,,199.9,,,301.1,,,516,,,1035,,,1546.4,,
53.5,,,90.6,,,196.2,,,303.1,,,509.6,,,1039,,,1547.6,,
55.7,,,93.8,,,197.3,,,306.9,,,519.7,,,1039.8,,,1543.9,,
49.1,,,92.3,,,195.7,,,303.8,,,519.1,,,1048,,,1542.7,,
54.4,,,96.1,,,197.3,,,304.2,,,519.4,,,1044.6,,,1542.8,,
53.8,,,95.2,,,197.4,,,309.4,,,515.4,,,1037.2,,,1545.1,,
53,,,93.1,,,201.3,,,301.6,,,512.1,,,1041.1,,,1548.2,,
51.2,,,98.5,,,195.9,,,303.5,,,519.5,,,1044.3,,,1542.6,,
55.9,,,92.9,,,196.3,,,301.3,,,513,,,1032.8,,,1544.7,,
50.2,,,90,,,200.4,,,303.4,,,515,,,1040.2,,,1535.6,,
53,,,96.5,,,195.3,,,303.5,,,518,,,1043.6,,,1548.2,,
54.6,,,94.6,,,201.1,,,302.5,,,516.4,,,1035.1,,,1536.4,,
57.4,,,94.7,,,195.8,,,303.8,,,522.9,,,1034.5,,,1538.6,,
56,,,94.6,,,197.7,,,301.9,,,519.6,,,1029.8,,,1542.4,,
56.1,,,96.2,,,198.4,,,305.3,,,512.9,,,1037.4,,,1542.1,,
53.5,,,93.1,,,199.1,,,303.4,,,518.5,,,1026.5,,,1546.8,,
57.4,,,92.7,,,196.6,,,303.9,,,522.2,,,1044.1,,,1552.1,,
50.9,,,95.9,,,195.6,,,304.3,,,513,,,1044.6,,,1540.9,,
53.6,,,95.8,,,199.4,,,301.5,,,517,,,1033.5,,,1535.7,,
59,,,94.2,,,195.8,,,303,,,517,,,1042.6,,,1540.1,,
51,,,93.8,,,198.8,,,302.8,,,523.7,,,1043.1,,,1546.1,,
56.1,,,98.3,,,197.4,,,302,,,519,,,1041.5,,,1540.5,,
57.8,,,93.4,,,197.8,,,306.3,,,525.7,,,1044.3,,,1552.3,,
53.1,,,95,,,197.7,,,302.3,,,508.7,,,1041.2,,,1544.7,,
53.9,,,96.2,,,197.3,,,305.7,,,515.6,,,1039.1,,,1544.2,,
57.8,,,98.1,,,196.5,,,301.6,,,514.7,,,1044.3,,,1544.4,,
52.8,,,95.6,,,193.6,,,303.3,,,514.3,,,1037.1,,,1546.1,,
53.6,,,95.4,,,197,,,300.2,,,517.9,,,1040.7,,,1541,,
56.7,,,96,,,198.5,,,302.9,,,519.1,,,1046.2,,,1542.6,,
51.2,,,92.8,,,195.2,,,304,,,517.9,,,1040.7,,,1539.5,,
50.3,,,98.2,,,199,,,304.6,,,515.9,,,1048.5,,,1541.6,,
55.4,,,95.1,,,198.2,,,304.4,,,517.1,,,1033.8,,,1546.5,,
57.7,,,93.9,,,196.6,,,300.6,,,518.3,,,1039.4,,,1540.3,,
55.8,,,94.7,,,200.8,,,303.5,,,523.5,,,1043.7,,,1542.9,,
53.9,,,97.8,,,200.5,,,306.6,,,523.8,,,1039.1,,,1545.6,,
53.4,,,96.2,,,196.6,,,301.8,,,513,,,1044.6,,,1548.7,,
54.1,,,97.3,,,196.3,,,302.9,,,519,,,1044.4,,,1537.3,,
53.7,,,97.2,,,199.2,,,304,,,527.3,,,1043.6,,,1539.8,,
52.4,,,93.1,,,200.7,,,302.3,,,516.5,,,1036.5,,,1535.9,,
49.6,,,95.5,,,192.2,,,299.8,,,517.4,,,1041.2,,,1541,,
50.1,,,94.8,,,195.5,,,304.7,,,513.7,,,1038,,,1547.9,,
52.7,,,97,,,197.3,,,305.2,,,513.3,,,1040.7,,,1537.6,,
53.7,,,94.4,,,198.2,,,305.4,,,508.2,,,1030.5,,,1542,,
52.7,,,93.1,,,195.7,,,301.9,,,517.9,,,1035.6,,,1553,,
53.3,,,94.9,,,194.7,,,303,,,517.5,,,1029,,,1538.2,,
51.4,,,95.2,,,193.2,,,303.8,,,514.1,,,1038.5,,,1541.9,,
47.7,,,94.5,,,196.4,,,306.8,,,510.3,,,1041.5,,,1542.8,,
50,,,92.9,,,198,,,300.4,,,516.5,,,1043.6,,,1540.3,,
48.3,,,96,,,198.6,,,303.7,,,520.3,,,1040.9,,,1543.3,,
49.3,,,93.3,,,195.7,,,304,,,519.3,,,1041.7,,,1543.7,,
49.8,,,92,,,198.2,,,304,,,510.5,,,1042.6,,,1535.3,,
52.1,,,92.9,,,195.2,,,301.7,,,521.7,,,1040.4,,,1543.9,,
48.1,,,96.4,,,198.7,,,305.8,,,521,,,1040.2,,,1542.7,,
52,,,94.3,,,201.5,,,306,,,513.6,,,1033.8,,,1546.6,,
52.1,,,92.2,,,195,,,301.3,,,515,,,1043.6,,,1539.1,,
48.6,,,88.1,,,200.1,,,300.9,,,514.8,,,1037.5,,,1544.5,,
48.2,,,95.5,,,196.5,,,307.5,,,517.7,,,1034.4,,,1539.1,,
50.8,,,95.9,,,198.2,,,307.6,,,519.4,,,1035.5,,,1542.5,,
52,,,90.4,,,198.2,,,303,,,515.4,,,1036.3,,,1546.7,,
54.1,,,95.3,,,201.2,,,307.6,,,513.3,,,1044.1,,,1541,,
48.5,,,96.8,,,197.5,,,308.2,,,517.1,,,1032.4,,,1544.5,,
51.1,,,97,,,199.6,,,306.1,,,520.2,,,1038.4,,,1541.7,,
49.7,,,95.7,,,203.1,,,305.3,,,516.5,,,1040.5,,,1544.3,,
48.9,,,95.1,,,200.4,,,306.2,,,519.9,,,1042.2,,,1541.3,,
53.4,,,97.6,,,200.1,,,301,,,514.5,,,1039.3,,,1542.6,,
54.4,,,95,,,196.5,,,305.2,,,514.9,,,1033.8,,,1541.9,,
52.2,,,98.1,,,197.1,,,304.7,,,517.6,,,1029.9,,,1541.7,,
49,,,95,,,201.7,,,303.9,,,514,,,1041.6,,,1541.7,,
49.1,,,94.5,,,199,,,301.7,,,515.5,,,1101.5,,,1538.8,,
53.1,,,94.7,,,199.5,,,301.1,,,516.3,,,1035.9,,,1545.8,,
53.6,,,92.7,,,200.5,,,301.5,,,508.9,,,1039.6,,,1539.9,,
53,,,100.7,,,201,,,302.5,,,520,,,1032.9,,,1540.4,,
51.8,,,95.3,,,200.2,,,299.4,,,516.1,,,1038.7,,,1540.5,,
52,,,97.1,,,202.3,,,302.5,,,519.2,,,1039.4,,,1550.7,,
50.8,,,98,,,200.7,,,305.6,,,520,,,1032.6,,,1541.9,,
53,,,96.1,,,202.5,,,304.1,,,516.7,,,1040.1,,,1541.2,,
52.2,,,97.2,,,204.3,,,307.3,,,526.9,,,1045.4,,,1541.9,,
51.3,,,94.1,,,200,,,300.8,,,522.1,,,1038.5,,,1543.1,,
53.2,,,95.9,,,199.5,,,301.6,,,520.6,,,1035.6,,,1544,,
51,,,96.2,,,203.4,,,303.9,,,521.3,,,1041.2,,,1539.5,,
51.2,,,96.6,,,201.1,,,303.5,,,519.6,,,1038.9,,,1542.7,,
51.5,,,95.5,,,199.7,,,306.1,,,521.4,,,1043,,,1547.1,,
52.6,,,95.2,,,199.3,,,300.9,,,528.2,,,,,,1541.8,,
51.3,,,95.6,,,200.6,,,301.8,,,524.3,,,,,,1546.7,,
55,,,96.3,,,203.3,,,303.6,,,518.6,,,,,,1542.6,,
55,,,96.6,,,197.6,,,304.5,,,517.8,,,,,,1540.6,,
49.3,,,92.3,,,200.8,,,302.2,,,512.1,,,,,,1541.3,,
49.1,,,96.5,,,200.4,,,299.9,,,514.3,,,,,,1546.2,,
55.2,,,96,,,202.1,,,302.9,,,516.4,,,,,,1541.9,,
50.3,,,95.2,,,201.7,,,302.1,,,520.5,,,,,,1547.1,,
49.7,,,93.9,,,197,,,304.3,,,522.8,,,,,,1553.5,,
51.7,,,95.1,,,202.5,,,299.6,,,517.3,,,,,,1544.5,,
54.4,,,94,,,203.2,,,303.9,,,528.2,,,,,,1544.3,,
54.5,,,97.7,,,201.8,,,300.7,,,524.2,,,,,,1537.3,,
50.2,,,95.3,,,201.5,,,300.7,,,512.1,,,,,,1544.8,,
49.5,,,91.2,,,200.5,,,302.3,,,558.8,,,,,,1546,,
50.5,,,95.1,,,200.8,,,305.5,,,516.9,,,,,,1547.4,,
50,,,95,,,204.2,,,300.1,,,511.7,,,,,,1540,,
47.9,,,95.7,,,200.9,,,298.9,,,512.9,,,,,,1545.6,,
50.7,,,97.5,,,202.3,,,301.3,,,509,,,,,,1543,,
53.4,,,95.7,,,203.6,,,300.7,,,528.8,,,,,,1539.2,,
52.2,,,95.1,,,200.3,,,304.7,,,515.8,,,,,,1541.6,,
49.3,,,96.5,,,200.4,,,304.7,,,510.6,,,,,,1543.9,,
55.9,,,95,,,203.5,,,302.5,,,517.1,,,,,,1541.1,,
50.5,,,94.7,,,202.3,,,300.4,,,514.6,,,,,,1533.3,,
51.4,,,96.5,,,198,,,302.1,,,514.6,,,,,,1542.8,,
52.7,,,95.5,,,202.2,,,306.8,,,518,,,,,,1542.6,,
53.6,,,95,,,202.4,,,304.5,,,582.7,,,,,,1541.7,,
55.1,,,101.7,,,203.1,,,303.2,,,511,,,,,,1537.6,,
52,,,96,,,203.8,,,305.2,,,510.2,,,,,,1539.7,,
49.4,,,98.6,,,201.3,,,304.3,,,515.3,,,,,,1542.6,,
51.4,,,93.1,,,198.7,,,305.7,,,519.6,,,,,,1538.8,,
50.3,,,96.1,,,200.9,,,305.3,,,516.9,,,,,,1534.1,,
52.1,,,92.9,,,202.8,,,300.4,,,520.9,,,,,,1541.6,,
51.2,,,95.8,,,201.4,,,301.4,,,577,,,,,,1540.9,,
47.1,,,94.1,,,203.3,,,302.6,,,506.6,,,,,,1543.5,,
47.3,,,94.4,,,203.7,,,305.5,,,517.3,,,,,,1540.8,,
47.5,,,96,,,202,,,304.6,,,510.4,,,,,,1543.5,,
49.5,,,92.6,,,199.6,,,304.7,,,510.5,,,,,,1539.9,,
49.2,,,94,,,202.5,,,305.1,,,519.1,,,,,,1539.8,,
43.7,,,91.1,,,202.2,,,304,,,511.6,,,,,,1542.3,,
56.8,,,95.2,,,197.4,,,304.9,,,514,,,,,,1537.5,,
51.4,,,94.5,,,199.6,,,301.5,,,516.2,,,,,,1548.3,,
50.1,,,94.7,,,205.3,,,302.3,,,576.1,,,,,,1539.8,,
49.2,,,99.5,,,202.2,,,300.8,,,516.4,,,,,,1546.3,,
49.2,,,97.9,,,202,,,306,,,511.3,,,,,,1545.4,,
55.8,,,94.5,,,197.5,,,301.2,,,514.3,,,,,,1541.5,,
51.8,,,95.8,,,201.8,,,300.6,,,519.9,,,,,,1537.1,,
47.7,,,97.5,,,201.5,,,299.2,,,516.3,,,,,,1539.7,,
50.3,,,95.1,,,202.5,,,302,,,514.3,,,,,,1545.6,,
49.1,,,97.5,,,202.8,,,303.1,,,522.3,,,,,,1546,,
48.6,,,94.7,,,201.9,,,303.8,,,516.5,,,,,,1543,,
57.1,,,93.4,,,199.8,,,300.2,,,509.4,,,,,,1537.9,,
50,,,95.1,,,202.9,,,302.9,,,516.3,,,,,,1541.7,,
50.4,,,96.4,,,201.5,,,302.8,,,579.9,,,,,,1544.4,,
53.1,,,92.5,,,201.3,,,299.4,,,517.6,,,,,,1544.9,,
56.4,,,93.5,,,201.2,,,299.3,,,520.4,,,,,,1544.5,,
53.9,,,87.3,,,199.5,,,302.2,,,523.1,,,,,,1537.1,,
54.2,,,97.2,,,197.3,,,308.4,,,522,,,,,,1538.8,,
56.2,,,93.9,,,202.6,,,304.2,,,515.1,,,,,,1550.2,,
56.7,,,95.7,,,200.5,,,301.7,,,513.6,,,,,,1547,,
55.3,,,95.5,,,200.9,,,308.2,,,529,,,,,,1545.6,,
50.9,,,98.6,,,202.7,,,302.5,,,514.5,,,,,,1545.1,,
52.4,,,96.2,,,204.9,,,306.1,,,517.3,,,,,,1539.6,,
52,,,96.1,,,202.4,,,300.3,,,519.8,,,,,,1541.9,,
50.2,,,93.5,,,203,,,303,,,515.4,,,,,,1540.7,,
54.3,,,99.5,,,202.9,,,302,,,516.5,,,,,,1540.7,,
54.3,,,97.5,,,201.1,,,303.4,,,519.9,,,,,,1533.8,,
50,,,99.8,,,199.8,,,305.8,,,523.9,,,,,,1540,,
48,,,100.4,,,199.1,,,298.7,,,514.2,,,,,,1551.5,,
55.8,,,100.1,,,199.1,,,304.4,,,516.3,,,,,,1543.9,,
51.5,,,99.4,,,201.6,,,301.2,,,512.1,,,,,,1546.3,,
45.9,,,99,,,200.4,,,301.4,,,520.4,,,,,,1543.9,,
54,,,96.4,,,204.6,,,302.4,,,521.5,,,,,,1546.7,,
43.4,,,100.6,,,201.4,,,301.3,,,521.8,,,,,,1538.5,,
52.1,,,106.3,,,201,,,301.9,,,522.4,,,,,,1542.4,,
54.2,,,99.1,,,202.5,,,305.2,,,515.5,,,,,,1542,,
53.1,,,88.7,,,197.8,,,303.9,,,521.2,,,,,,1536.9,,
50.7,,,88.1,,,199.4,,,300.3,,,523.9,,,,,,1540.7,,
53,,,93.4,,,198.4,,,303,,,522.5,,,,,,1541.3,,
50,,,93.6,,,200.3,,,304.6,,,521.8,,,,,,1537.3,,
52.2,,,96.1,,,200.3,,,303.2,,,517.3,,,,,,1539.3,,
55,,,96.9,,,204.5,,,305.6,,,531,,,,,,1538.9,,
51.9,,,100.5,,,200.3,,,301.1,,,515.9,,,,,,1547,,
51.3,,,97.4,,,201.9,,,305.7,,,524.4,,,,,,1536.3,,
53.4,,,101.2,,,199.6,,,302.7,,,518.2,,,,,,1536.4,,
55.1,,,96.2,,,200.8,,,301.7,,,516.7,,,,,,1536.2,,
51.6,,,95.6,,,205.7,,,299.9,,,517.4,,,,,,1536.3,,
44.5,,,93.4,,,202.5,,,301.9,,,516.4,,,,,,1538.1,,
53.9,,,92,,,198.7,,,302.1,,,514,,,,,,1550.1,,
50.1,,,91.6,,,201.7,,,302.8,,,517.1,,,,,,1539.3,,
55.6,,,97.3,,,198.3,,,302.5,,,508.7,,,,,,1544.4,,
52.9,,,99.5,,,196.4,,,306.3,,,522.2,,,,,,1547.6,,
