d1(cm),d_real(cm),d_mea(cm),d2(cm),d_real(cm),d_mea(cm),d3(cm),d_real(cm),d_mea(cm),d4(cm),d_real(cm),d_mea(cm),d5(cm),d_real(cm),d_mea(cm),d6(cm),d_real(cm),d_mea(cm),d7(cm),d_real(cm),d_mea(cm)
52.6,,,95.6,,,198.4,,,305.8,,,512.6,,,,,,1548.3,,
48.7,,,91.1,,,199.4,,,304.5,,,510.8,,,,,,1548.1,,
51.2,,,91.9,,,198.3,,,302.6,,,509.5,,,,,,1540.7,,
55.3,,,93.3,,,197.4,,,301.3,,,516.5,,,,,,1540.5,,
50.3,,,95.6,,,191.3,,,301.1,,,519.7,,,,,,1536.2,,
50.3,,,106.8,,,200.1,,,301.1,,,514.4,,,,,,1545.5,,
54.7,,,107.1,,,195.2,,,302.9,,,508.3,,,,,,1534.4,,
51.3,,,102.4,,,197.8,,,305.6,,,542.3,,,,,,1548.4,,
52.4,,,100.4,,,197.2,,,302.8,,,511.4,,,,,,1542,,
54.4,,,98.2,,,199,,,300.3,,,511.5,,,,,,1547.2,,
53.1,,,89.6,,,201.2,,,300,,,516,,,,,,1542.9,,
53,,,93.4,,,200.8,,,301.5,,,522.1,,,,,,1546.2,,
50.6,,,93.3,,,203.1,,,300.7,,,517.6,,,,,,1538.7,,
53.1,,,93.8,,,202.3,,,301.2,,,537.8,,,,,,1537.8,,
49.6,,,93.5,,,203.1,,,304.2,,,515.6,,,,,,1544.3,,
51.7,,,93.1,,,203.2,,,307.1,,,510.8,,,,,,1537.5,,
51.3,,,92.3,,,202,,,301,,,512.9,,,,,,1532.1,,
53.8,,,95.7,,,201.8,,,303.4,,,519.9,,,,,,1545.2,,
52.6,,,94.6,,,202.3,,,298.8,,,519.5,,,,,,1541.2,,
50.4,,,95,,,199.3,,,298.7,,,513.9,,,,,,1546.8,,
51.4,,,92.4,,,205.4,,,301.6,,,512,,,,,,1546.2,,
50.9,,,95.3,,,198.2,,,305.4,,,520.9,,,,,,1538.1,,
52.4,,,92,,,200.3,,,299.1,,,513.3,,,,,,1546.9,,
55.7,,,92.4,,,203.1,,,299.8,,,516.5,,,,,,1546.3,,
53.3,,,92.8,,,203.3,,,300.9,,,506.7,,,,,,1541,,
51,,,96,,,203.3,,,301.3,,,511.7,,,,,,1542.8,,
52,,,94.5,,,201.6,,,305.9,,,509.3,,,,,,1541.8,,
50.3,,,93.7,,,201.7,,,301.4,,,512.5,,,,,,1544.9,,
49.6,,,97.5,,,204.1,,,298.1,,,517.2,,,,,,1540.5,,
53.3,,,96.5,,,203.3,,,302.2,,,508.8,,,,,,1545,,
53.2,,,97.7,,,207.5,,,300.8,,,516.6,,,,,,1543.1,,
56.7,,,99.8,,,204.6,,,307.8,,,528.2,,,,,,1549.1,,
51.5,,,99.1,,,203.8,,,302.5,,,518.3,,,,,,1539.9,,
53.1,,,97.2,,,201.8,,,307.7,,,503.9,,,,,,1546,,
50.6,,,93.3,,,206,,,303.8,,,517.9,,,,,,1539.6,,
50.7,,,97.4,,,201.7,,,302.6,,,518.2,,,,,,1549.3,,
49.3,,,96.7,,,206.1,,,303,,,534.7,,,,,,1540,,
52.8,,,98.8,,,201.6,,,302.5,,,507.8,,,,,,1537.5,,
49,,,94.2,,,204.8,,,303.2,,,511.6,,,,,,1549.5,,
49.6,,,98.2,,,202.2,,,300,,,515.1,,,,,,1546.5,,
54,,,94.9,,,202.6,,,304.4,,,515.1,,,,,,1542.8,,
50.4,,,95.6,,,201.6,,,305.2,,,506.6,,,,,,1546.9,,
49.8,,,96.6,,,197.9,,,299.5,,,510.9,,,,,,1537.1,,
51.2,,,94.3,,,205,,,303.8,,,518,,,,,,1544.7,,
52.5,,,97,,,203.3,,,303.7,,,511.1,,,,,,1547.1,,
48.8,,,93.7,,,198.9,,,307.7,,,517,,,,,,1543.1,,
51.4,,,96.8,,,197.9,,,304.5,,,511.5,,,,,,1543.8,,
51.9,,,94.7,,,196.3,,,302.9,,,516.4,,,,,,1550.5,,
52.5,,,94.1,,,200.4,,,302.4,,,517.7,,,,,,1541.6,,
54.5,,,92.4,,,197.1,,,301.8,,,516.4,,,,,,1542.5,,
49.6,,,92.8,,,198.1,,,302.1,,,522.2,,,,,,1542,,
53.3,,,94.2,,,200,,,305.6,,,518.5,,,,,,1548.2,,
50.1,,,94.9,,,199.3,,,298.8,,,516.9,,,,,,1543.2,,
50.4,,,93.6,,,199,,,304.1,,,513.3,,,,,,1539.9,,
52.3,,,93.8,,,201,,,302.6,,,512.1,,,,,,1540.7,,
52.8,,,96.8,,,196.1,,,301.1,,,509,,,,,,1543.2,,
53.8,,,97.8,,,197.8,,,306,,,519,,,,,,1541.6,,
51.7,,,94.8,,,201,,,303.1,,,515.6,,,,,,1545.5,,
,,,95.1,,,197.9,,,300.5,,,511.5,,,,,,1547.3,,
,,,96.6,,,197.3,,,302.8,,,511.7,,,,,,1544.5,,
,,,94.4,,,197.4,,,300.9,,,512.9,,,,,,1548.2,,
,,,96.6,,,199.3,,,303,,,515.5,,,,,,1550.1,,
,,,95.4,,,198.7,,,303.5,,,514.3,,,,,,1546.8,,
,,,93.6,,,200.7,,,302.6,,,516.4,,,,,,1543.6,,
,,,96.3,,,195.5,,,301.7,,,512.3,,,,,,1544.7,,
,,,94.6,,,200.7,,,305.7,,,512.6,,,,,,1549.1,,
,,,96.9,,,199.2,,,301.2,,,512.7,,,,,,1547.1,,
,,,96.9,,,194.1,,,301.3,,,515.1,,,,,,1537.5,,
,,,94.9,,,199.7,,,305,,,517.1,,,,,,1540.9,,
,,,96.5,,,203.7,,,305.4,,,511.6,,,,,,1546.1,,
,,,97.3,,,197.7,,,305,,,514.4,,,,,,1538,,
,,,92.9,,,197.8,,,304.1,,,519.9,,,,,,1548.8,,
,,,93.8,,,196.7,,,302.8,,,508.3,,,,,,1536.7,,
,,,92.3,,,201.6,,,301,,,515.8,,,,,,1546.7,,
,,,97,,,198.1,,,299,,,511.1,,,,,,1542.3,,
,,,94.3,,,196.8,,,300.6,,,522.9,,,,,,1543,,
,,,93.1,,,203.1,,,301.7,,,509.6,,,,,,1538.5,,
,,,95.9,,,200.6,,,300.9,,,510.5,,,,,,1536.7,,
,,,94.8,,,196.3,,,302.8,,,521.3,,,,,,1545.5,,
,,,98.2,,,199.4,,,301,,,511.1,,,,,,1539.2,,
,,,97.3,,,194.5,,,305,,,513.6,,,,,,1574,,
,,,98.9,,,198.3,,,302.3,,,517.9,,,,,,1537.9,,
,,,95.2,,,203.1,,,305.4,,,514.6,,,,,,1539.5,,
,,,96.6,,,202,,,305.2,,,510,,,,,,1540.3,,
,,,97.7,,,196.2,,,299.6,,,509.9,,,,,,1536.5,,
,,,97,,,198.6,,,295.4,,,505.7,,,,,,1540.3,,
,,,99.5,,,196.6,,,301.9,,,509.8,,,,,,1540.3,,
,,,97.1,,,195.7,,,303.8,,,507.2,,,,,,1540.1,,
,,,93.6,,,196.5,,,300.9,,,511.1,,,,,,1538,,
,,,95.6,,,201,,,303.4,,,510.8,,,,,,1534.5,,
,,,100.6,,,200.6,,,301.4,,,516.1,,,,,,1543.2,,
,,,94,,,201.6,,,301,,,505.2,,,,,,1540.9,,
,,,98,,,202.2,,,308,,,510.3,,,,,,1538.9,,
,,,94.8,,,203,,,303.8,,,509.1,,,,,,1549,,
,,,98.5,,,199,,,302.4,,,511.3,,,,,,1547.6,,
,,,95.9,,,204.2,,,300.5,,,517,,,,,,1536.9,,
,,,,,,198.1,,,300.6,,,516.6,,,,,,1535.9,,
,,,,,,196.2,,,302.6,,,513.9,,,,,,1537.6,,
,,,,,,197.4,,,305.1,,,513.6,,,,,,1534.7,,
,,,,,,197,,,299.3,,,514.5,,,,,,1535.3,,
,,,,,,199.9,,,299.6,,,518,,,,,,1541.6,,
,,,,,,203.3,,,302.1,,,509.4,,,,,,1535.6,,
,,,,,,203.4,,,301.9,,,505.1,,,,,,1546.3,,
,,,,,,199.4,,,301,,,505.5,,,,,,1535.4,,
,,,,,,198.6,,,302.2,,,511.6,,,,,,1536.1,,
,,,,,,197.6,,,300.7,,,513.1,,,,,,1539.1,,
,,,,,,196.5,,,303.5,,,513.7,,,,,,1533.7,,
,,,,,,199.4,,,302.8,,,517.8,,,,,,1529,,
,,,,,,195.2,,,300.7,,,505.9,,,,,,1535.8,,
,,,,,,196.1,,,304.6,,,510.9,,,,,,1540.8,,
,,,,,,201.2,,,304.2,,,515.9,,,,,,1535.7,,
,,,,,,196.5,,,301.9,,,512.8,,,,,,1540.4,,
,,,,,,196.9,,,303.8,,,517.6,,,,,,1533.4,,
,,,,,,201.6,,,305.4,,,512.4,,,,,,1536.4,,
,,,,,,197.8,,,304.4,,,513.4,,,,,,1541.4,,
,,,,,,196,,,303.7,,,515.9,,,,,,1537.2,,
,,,,,,199.6,,,302.2,,,513,,,,,,1537.8,,
,,,,,,198.6,,,299.6,,,511.9,,,,,,1542.4,,
,,,,,,199.4,,,302.2,,,515.2,,,,,,1535.6,,
,,,,,,199.1,,,307.5,,,507.6,,,,,,1539.2,,
,,,,,,199.3,,,301.6,,,515.6,,,,,,1532.6,,
,,,,,,,,,305.6,,,511.3,,,,,,1542.3,,
,,,,,,,,,306.6,,,513.1,,,,,,1538.2,,
,,,,,,,,,303.9,,,510.6,,,,,,1533.3,,
,,,,,,,,,305.9,,,513.7,,,,,,1538.2,,
,,,,,,,,,306.4,,,515.7,,,,,,1532.4,,
,,,,,,,,,308.9,,,513,,,,,,1534.8,,
,,,,,,,,,303.9,,,517.4,,,,,,1533.6,,
,,,,,,,,,304.5,,,520,,,,,,1536.8,,
,,,,,,,,,304.8,,,512.7,,,,,,1540.4,,
,,,,,,,,,302.9,,,516.7,,,,,,1535.7,,
,,,,,,,,,301.9,,,511.3,,,,,,1529.7,,
,,,,,,,,,304.5,,,513.3,,,,,,1535.1,,
,,,,,,,,,300.5,,,523.6,,,,,,1542.4,,
,,,,,,,,,303.9,,,516.7,,,,,,1543.3,,
,,,,,,,,,300.3,,,525.4,,,,,,1540.4,,
,,,,,,,,,304.3,,,519.6,,,,,,1536.8,,
,,,,,,,,,304.8,,,513.5,,,,,,1539.7,,
,,,,,,,,,306.2,,,516.3,,,,,,1544.5,,
,,,,,,,,,306.8,,,515.1,,,,,,1538.4,,
,,,,,,,,,304.9,,,513.1,,,,,,1533.5,,
,,,,,,,,,306.2,,,514.5,,,,,,1538.4,,
,,,,,,,,,301.7,,,518.3,,,,,,1534.3,,
,,,,,,,,,303.1,,,520.7,,,,,,1538.3,,
,,,,,,,,,301.7,,,508.6,,,,,,1537.8,,
,,,,,,,,,303.2,,,517.9,,,,,,1532.4,,
,,,,,,,,,301.1,,,512.6,,,,,,1539.9,,
,,,,,,,,,302.4,,,514.4,,,,,,1540.5,,
,,,,,,,,,298.8,,,515.5,,,,,,1531,,
,,,,,,,,,303.8,,,512.9,,,,,,1533.4,,
,,,,,,,,,303.3,,,517.6,,,,,,1536.7,,
,,,,,,,,,304.3,,,513.7,,,,,,1535.4,,
,,,,,,,,,304.2,,,581.6,,,,,,1537.2,,
,,,,,,,,,306,,,512.4,,,,,,1536,,
,,,,,,,,,300,,,512.5,,,,,,1531.5,,
,,,,,,,,,300.9,,,517.1,,,,,,1538.1,,
,,,,,,,,,298.6,,,514.5,,,,,,1534,,
,,,,,,,,,301.5,,,511.7,,,,,,1532.1,,
,,,,,,,,,302.5,,,516.5,,,,,,1538.6,,
,,,,,,,,,304.2,,,515.4,,,,,,1535,,
,,,,,,,,,300.6,,,514.3,,,,,,1539.8,,
,,,,,,,,,305.4,,,512.7,,,,,,1546.9,,
,,,,,,,,,300.6,,,510.5,,,,,,1540,,
,,,,,,,,,301.7,,,508.7,,,,,,1532,,
,,,,,,,,,302.3,,,507.6,,,,,,1530.3,,
,,,,,,,,,304.8,,,514.1,,,,,,1538,,
,,,,,,,,,304.2,,,510.7,,,,,,1534.6,,
,,,,,,,,,300.1,,,513.3,,,,,,1536.6,,
,,,,,,,,,298.9,,,512.1,,,,,,1533.8,,
,,,,,,,,,299.6,,,511.2,,,,,,1532.8,,
,,,,,,,,,306.2,,,572.3,,,,,,1538.7,,
,,,,,,,,,302.8,,,519.3,,,,,,1538.4,,
,,,,,,,,,302.5,,,515.5,,,,,,1541.7,,
,,,,,,,,,305,,,517,,,,,,1541,,
,,,,,,,,,303.6,,,512.9,,,,,,1536.8,,
,,,,,,,,,302.1,,,519.1,,,,,,1537.7,,
,,,,,,,,,303.7,,,509.9,,,,,,1543.5,,
,,,,,,,,,303.2,,,511,,,,,,1542,,
,,,,,,,,,304.2,,,514.4,,,,,,1536.1,,
,,,,,,,,,303.9,,,511.7,,,,,,1542.1,,
,,,,,,,,,303.1,,,516,,,,,,1536.8,,
,,,,,,,,,304.3,,,519.8,,,,,,1534.7,,
,,,,,,,,,303.9,,,521.8,,,,,,1534.6,,
,,,,,,,,,306.2,,,517.1,,,,,,1544.1,,
,,,,,,,,,302.3,,,516.6,,,,,,1544.3,,
,,,,,,,,,305.4,,,515.6,,,,,,1539.6,,
,,,,,,,,,302.3,,,512.2,,,,,,1542.2,,
,,,,,,,,,301.8,,,516.5,,,,,,1531.9,,
,,,,,,,,,306.9,,,513.3,,,,,,1536.5,,
,,,,,,,,,307.7,,,511.1,,,,,,1537.8,,
,,,,,,,,,303.1,,,516.5,,,,,,1539.3,,
,,,,,,,,,300.1,,,517.2,,,,,,1536,,
,,,,,,,,,304.8,,,513,,,,,,1538.6,,
,,,,,,,,,301.5,,,517.5,,,,,,1543.2,,
,,,,,,,,,303.9,,,513.2,,,,,,1536.3,,
,,,,,,,,,303.2,,,512.9,,,,,,1534.3,,
,,,,,,,,,305,,,516,,,,,,1550.3,,
,,,,,,,,,306.2,,,515,,,,,,1534.6,,
,,,,,,,,,302.3,,,517.7,,,,,,1536.3,,
,,,,,,,,,302.3,,,507.6,,,,,,1543.8,,
,,,,,,,,,302.4,,,519.2,,,,,,1544.9,,
,,,,,,,,,303.5,,,515.5,,,,,,1542.4,,
,,,,,,,,,303.1,,,508.9,,,,,,1537.4,,
,,,,,,,,,300.2,,,517.1,,,,,,1532.7,,
,,,,,,,,,305.6,,,511.9,,,,,,1538,,
,,,,,,,,,305,,,520.9,,,,,,1536,,
,,,,,,,,,303.7,,,510.5,,,,,,1536.3,,
,,,,,,,,,304,,,516.7,,,,,,1534.9,,
,,,,,,,,,302,,,509.5,,,,,,1535.6,,
,,,,,,,,,302.6,,,519.2,,,,,,1544,,
,,,,,,,,,303.5,,,519.5,,,,,,1542.8,,
,,,,,,,,,304.2,,,522.7,,,,,,1538.4,,
,,,,,,,,,300.3,,,514.4,,,,,,1539.1,,
,,,,,,,,,305.8,,,527,,,,,,1539.8,,
,,,,,,,,,302.8,,,516.2,,,,,,1533,,
,,,,,,,,,305.4,,,512.1,,,,,,1534.8,,
,,,,,,,,,302,,,564.6,,,,,,1539.9,,
,,,,,,,,,303.4,,,514.5,,,,,,1533.8,,
,,,,,,,,,300.7,,,515.1,,,,,,1539.8,,
,,,,,,,,,304,,,509,,,,,,1537.7,,
,,,,,,,,,301.3,,,516.1,,,,,,1535.8,,
,,,,,,,,,301.1,,,517.4,,,,,,1537.9,,
,,,,,,,,,305.4,,,499.6,,,,,,1539.2,,
,,,,,,,,,303.8,,,512.7,,,,,,1536.2,,
,,,,,,,,,304.7,,,513.1,,,,,,1537.9,,
,,,,,,,,,303.3,,,517.6,,,,,,1536.6,,
,,,,,,,,,307.6,,,521.5,,,,,,1534.3,,
,,,,,,,,,304,,,564.9,,,,,,1539.4,,
,,,,,,,,,305.6,,,510.1,,,,,,1533,,
,,,,,,,,,307,,,512.4,,,,,,1537.7,,
,,,,,,,,,302.8,,,505.1,,,,,,1536.3,,
,,,,,,,,,307.1,,,515.8,,,,,,1536.2,,
,,,,,,,,,308.7,,,573.3,,,,,,1540.5,,
,,,,,,,,,304.6,,,515.9,,,,,,1547,,
,,,,,,,,,306.8,,,512.3,,,,,,1541.7,,
,,,,,,,,,303.6,,,544.3,,,,,,1535.3,,
,,,,,,,,,302.4,,,515.7,,,,,,1536.5,,
,,,,,,,,,305,,,514.7,,,,,,1536.7,,
,,,,,,,,,300.3,,,518.2,,,,,,1542.1,,
,,,,,,,,,300.3,,,513.9,,,,,,1538.3,,
,,,,,,,,,303,,,517.3,,,,,,1542.3,,
,,,,,,,,,305.7,,,514.2,,,,,,1542.5,,
,,,,,,,,,304.6,,,516.6,,,,,,1542.1,,
,,,,,,,,,303.4,,,514,,,,,,1540.1,,
,,,,,,,,,304.2,,,521,,,,,,1541.8,,
,,,,,,,,,306.1,,,515.1,,,,,,1532.6,,
,,,,,,,,,302.4,,,566.1,,,,,,1535.7,,
,,,,,,,,,305.1,,,517.4,,,,,,1536.4,,
,,,,,,,,,305.9,,,510.3,,,,,,1540.3,,
,,,,,,,,,302.1,,,506.5,,,,,,1541.9,,
,,,,,,,,,300,,,513.1,,,,,,1533.9,,
,,,,,,,,,303.7,,,568,,,,,,1539.8,,
,,,,,,,,,305.1,,,512,,,,,,1545.4,,
,,,,,,,,,301.3,,,510.8,,,,,,1537.9,,
,,,,,,,,,304.9,,,508.6,,,,,,1535.2,,
,,,,,,,,,303.1,,,588,,,,,,1539,,
,,,,,,,,,305.5,,,512.1,,,,,,1529.8,,
,,,,,,,,,304.4,,,510.9,,,,,,1537.8,,
,,,,,,,,,294.8,,,514.7,,,,,,1541.4,,
,,,,,,,,,305.2,,,517.9,,,,,,1528.9,,
,,,,,,,,,301.3,,,525.4,,,,,,1544.2,,
,,,,,,,,,302.2,,,509.8,,,,,,1533.3,,
,,,,,,,,,301.4,,,523.4,,,,,,1534.3,,
,,,,,,,,,301,,,515.4,,,,,,1530.4,,
,,,,,,,,,302.8,,,578.2,,,,,,1533.2,,
,,,,,,,,,300.6,,,511.8,,,,,,1538.5,,
,,,,,,,,,300.5,,,518.8,,,,,,1537.9,,
,,,,,,,,,304.1,,,512.4,,,,,,1539.2,,
,,,,,,,,,296.8,,,534.3,,,,,,1533.9,,
,,,,,,,,,301.5,,,516.4,,,,,,1539.2,,
,,,,,,,,,305,,,509.4,,,,,,1538.1,,
,,,,,,,,,303.5,,,513.7,,,,,,1539.9,,
,,,,,,,,,300.3,,,512,,,,,,1538.2,,
,,,,,,,,,303.8,,,517.3,,,,,,1533.9,,
,,,,,,,,,299.7,,,520.4,,,,,,1538.9,,
,,,,,,,,,299.1,,,563.2,,,,,,1534.5,,
,,,,,,,,,300.4,,,518.4,,,,,,1542.4,,
,,,,,,,,,302.8,,,511.4,,,,,,1547.4,,
,,,,,,,,,302.5,,,509.6,,,,,,1540.1,,
,,,,,,,,,303.3,,,515,,,,,,1539.9,,
,,,,,,,,,304.2,,,518.3,,,,,,1531.6,,
,,,,,,,,,301.1,,,515.6,,,,,,1535.2,,
,,,,,,,,,301,,,516.8,,,,,,1542.6,,
,,,,,,,,,302.3,,,518,,,,,,1545.3,,
,,,,,,,,,303.9,,,518,,,,,,1545,,
,,,,,,,,,304.2,,,512.3,,,,,,1535.5,,
,,,,,,,,,305.8,,,510,,,,,,1536.4,,
,,,,,,,,,300.4,,,518.2,,,,,,1542.5,,
,,,,,,,,,301.9,,,541.7,,,,,,1535.3,,
,,,,,,,,,303.1,,,519.9,,,,,,1542.5,,
,,,,,,,,,303.1,,,513.9,,,,,,1536.1,,
,,,,,,,,,304.2,,,519.7,,,,,,1540.1,,
,,,,,,,,,301.2,,,516.9,,,,,,1535.9,,
,,,,,,,,,302.7,,,523.8,,,,,,1539.3,,
,,,,,,,,,302.2,,,513.8,,,,,,1544.6,,
,,,,,,,,,304.3,,,509.5,,,,,,1538.7,,
,,,,,,,,,303.3,,,516.1,,,,,,1538.5,,
,,,,,,,,,300.5,,,519.3,,,,,,1538,,
,,,,,,,,,301.1,,,512.7,,,,,,1535,,
,,,,,,,,,299.4,,,512.9,,,,,,1529.5,,
,,,,,,,,,299.1,,,513.6,,,,,,1535.9,,
,,,,,,,,,306.2,,,506.9,,,,,,1549.4,,
,,,,,,,,,301.6,,,513.6,,,,,,1538.6,,
,,,,,,,,,303.3,,,510.4,,,,,,1539.9,,
,,,,,,,,,300.9,,,515.8,,,,,,1535.1,,
,,,,,,,,,303.6,,,519.5,,,,,,1542.2,,
,,,,,,,,,301.3,,,508.6,,,,,,1533,,
,,,,,,,,,303.4,,,517.5,,,,,,1532.1,,
,,,,,,,,,305.3,,,518,,,,,,1537.7,,
,,,,,,,,,298.9,,,523,,,,,,1536,,
,,,,,,,,,301.9,,,518,,,,,,1539.1,,
,,,,,,,,,306.4,,,518.5,,,,,,1529.8,,
,,,,,,,,,302.8,,,512.9,,,,,,1530.3,,
,,,,,,,,,300.5,,,518.9,,,,,,1539.6,,
,,,,,,,,,301.3,,,516,,,,,,1543.5,,
,,,,,,,,,301.9,,,512.6,,,,,,1538.6,,
,,,,,,,,,303.3,,,521.4,,,,,,1536,,
,,,,,,,,,301.3,,,512.8,,,,,,1531.5,,
,,,,,,,,,303.3,,,508.3,,,,,,1542.3,,
,,,,,,,,,303.9,,,513.2,,,,,,1550,,
,,,,,,,,,303.7,,,515.4,,,,,,1538.4,,
,,,,,,,,,299.8,,,519.1,,,,,,1538.2,,
,,,,,,,,,303.3,,,513.5,,,,,,1534.5,,
,,,,,,,,,299.5,,,519.1,,,,,,1544.7,,
,,,,,,,,,305.1,,,576.3,,,,,,1533.5,,
,,,,,,,,,303,,,511.9,,,,,,1542.1,,
,,,,,,,,,304.1,,,508.7,,,,,,1542.2,,
,,,,,,,,,304.3,,,518.2,,,,,,1534.3,,
,,,,,,,,,302.7,,,512.5,,,,,,1537.2,,
,,,,,,,,,306.5,,,512.1,,,,,,1536.7,,
,,,,,,,,,300.2,,,521.5,,,,,,1537,,
,,,,,,,,,303.8,,,519.7,,,,,,1551.9,,
,,,,,,,,,303.5,,,510.4,,,,,,1540,,
,,,,,,,,,304.6,,,515,,,,,,1534.8,,
,,,,,,,,,301.4,,,512.6,,,,,,1543.5,,
,,,,,,,,,,,,511.1,,,,,,,,
,,,,,,,,,,,,511.7,,,,,,,,
,,,,,,,,,,,,516.9,,,,,,,,
,,,,,,,,,,,,524.9,,,,,,,,
,,,,,,,,,,,,510.2,,,,,,,,
,,,,,,,,,,,,516.1,,,,,,,,
,,,,,,,,,,,,568.3,,,,,,,,
,,,,,,,,,,,,511.7,,,,,,,,
,,,,,,,,,,,,514.9,,,,,,,,
,,,,,,,,,,,,515.9,,,,,,,,
,,,,,,,,,,,,516.2,,,,,,,,
,,,,,,,,,,,,520.9,,,,,,,,
,,,,,,,,,,,,583.1,,,,,,,,
,,,,,,,,,,,,519.1,,,,,,,,
,,,,,,,,,,,,522.2,,,,,,,,
,,,,,,,,,,,,509.1,,,,,,,,
,,,,,,,,,,,,520.4,,,,,,,,
,,,,,,,,,,,,515.4,,,,,,,,
,,,,,,,,,,,,523.2,,,,,,,,
,,,,,,,,,,,,516.3,,,,,,,,
,,,,,,,,,,,,508.1,,,,,,,,
,,,,,,,,,,,,512.8,,,,,,,,
,,,,,,,,,,,,518,,,,,,,,
,,,,,,,,,,,,519.7,,,,,,,,
,,,,,,,,,,,,519.6,,,,,,,,
,,,,,,,,,,,,519.9,,,,,,,,
,,,,,,,,,,,,519.4,,,,,,,,
,,,,,,,,,,,,514.3,,,,,,,,
,,,,,,,,,,,,508.2,,,,,,,,
,,,,,,,,,,,,513.8,,,,,,,,
,,,,,,,,,,,,516.4,,,,,,,,
,,,,,,,,,,,,520.3,,,,,,,,
,,,,,,,,,,,,510.8,,,,,,,,
,,,,,,,,,,,,514.7,,,,,,,,
,,,,,,,,,,,,565.8,,,,,,,,
,,,,,,,,,,,,509.8,,,,,,,,
,,,,,,,,,,,,505.4,,,,,,,,
,,,,,,,,,,,,506.9,,,,,,,,
,,,,,,,,,,,,514.4,,,,,,,,
